obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;model_id;model_name;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_vendor creates invoice;Activity;;Alternate Precedence[receive order confirmation, vendor creates invoice] | | |;Binary;set();set();Alternate Precedence;receive order confirmation;vendor creates invoice;['20befc0f2a974d5fbd4bb1a5c8d278b6'];['6'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'receive order confirmation': 0.5599233508110046, 'vendor creates invoice': 0.6003418564796448};0.5801326036453247;e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_vendor creates invoice;0.5256907718522208;['Receive Order Confirmation'];['Vendor creates invoice'];e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_vendor creates invoice;10673
e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_change final invoice indicator;Activity;;Alternate Precedence[receive order confirmation, change final invoice indicator] | | |;Binary;set();set();Alternate Precedence;receive order confirmation;change final invoice indicator;['20befc0f2a974d5fbd4bb1a5c8d278b6'];['6'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'receive order confirmation': 0.5599233508110046, 'change final invoice indicator': 0.6073237061500549};0.5836235284805298;e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_change final invoice indicator;0.5288326042039054;['Receive Order Confirmation'];['Change Final Invoice Indicator'];e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_receive order confirmation_Object_change final invoice indicator;3
e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_reactivate purchase order item_Object_change final invoice indicator;Activity;;Alternate Precedence[reactivate purchase order item, change final invoice indicator] | | |;Binary;set();set();Alternate Precedence;reactivate purchase order item;change final invoice indicator;['20befc0f2a974d5fbd4bb1a5c8d278b6'];['6'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'reactivate purchase order item': 0.5926503539085388, 'change final invoice indicator': 0.6073237061500549};0.5999870300292969;e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_reactivate purchase order item_Object_change final invoice indicator;0.5435597555977958;['Reactivate Purchase Order Item'];['Change Final Invoice Indicator'];e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_reactivate purchase order item_Object_change final invoice indicator;3
e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_change final invoice indicator;Activity;;Alternate Precedence[release purchase order, change final invoice indicator] | | |;Binary;set();set();Alternate Precedence;release purchase order;change final invoice indicator;['20befc0f2a974d5fbd4bb1a5c8d278b6'];['6'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.5736423134803772, 'change final invoice indicator': 0.6073237061500549};0.5904830098152161;e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_change final invoice indicator;0.535006137405123;['Release Purchase Order'];['Change Final Invoice Indicator'];e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_change final invoice indicator;3
e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_cancel subsequent invoice;Activity;;Alternate Precedence[release purchase order, cancel subsequent invoice] | | |;Binary;set();set();Alternate Precedence;release purchase order;cancel subsequent invoice;['20befc0f2a974d5fbd4bb1a5c8d278b6'];['6'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.5736423134803772, 'cancel subsequent invoice': 0.5681847333908081};0.5709135234355927;e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_cancel subsequent invoice;0.517393599663462;['Release Purchase Order'];['Cancel Subsequent Invoice'];e5b5dec3-f921-4c3f-a469-6558ea8f5467_Object_release purchase order_Object_cancel subsequent invoice;20
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record invoice receipt;Activity;;Responded Existence[vendor creates invoice, record invoice receipt] | | |;Binary;set();set();Responded Existence;vendor creates invoice;record invoice receipt;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'record invoice receipt': 0.6171842813491821};0.6162551641464233;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record invoice receipt;0.5582010763032096;['Vendor creates invoice'];['Record Invoice Receipt'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record invoice receipt;1
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_clear invoice;Activity;;Responded Existence[vendor creates invoice, clear invoice] | | |;Binary;set();set();Responded Existence;vendor creates invoice;clear invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'clear invoice': 0.5937914252281189};0.6045587360858917;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_clear invoice;0.5476742910487311;['Vendor creates invoice'];['Clear Invoice'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_clear invoice;1047
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel invoice receipt;Activity;;Responded Existence[vendor creates invoice, cancel invoice receipt] | | |;Binary;set();set();Responded Existence;vendor creates invoice;cancel invoice receipt;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'cancel invoice receipt': 0.5021970868110657};0.5587615668773651;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel invoice receipt;0.5064568387610572;['Vendor creates invoice'];['Cancel Invoice Receipt'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel invoice receipt;10181
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_change final invoice indicator;Activity;;Responded Existence[vendor creates invoice, change final invoice indicator] | | |;Binary;set();set();Responded Existence;vendor creates invoice;change final invoice indicator;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'change final invoice indicator': 0.5498291254043579};0.5825775861740112;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_change final invoice indicator;0.5278912561280387;['Vendor creates invoice'];['Change Final Invoice Indicator'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_change final invoice indicator;10719
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel subsequent invoice;Activity;;Responded Existence[vendor creates invoice, cancel subsequent invoice] | | |;Binary;set();set();Responded Existence;vendor creates invoice;cancel subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'cancel subsequent invoice': 0.513904333114624};0.5646151900291443;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel subsequent invoice;0.5117250995976584;['Vendor creates invoice'];['Cancel Subsequent Invoice'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_cancel subsequent invoice;10702
67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record subsequent invoice;Activity;;Responded Existence[vendor creates invoice, record subsequent invoice] | | |;Binary;set();set();Responded Existence;vendor creates invoice;record subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.6153260469436646, 'record subsequent invoice': 0.6090057492256165};0.6121658980846405;67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record subsequent invoice;0.5545207368476051;['Vendor creates invoice'];['Record Subsequent Invoice'];67ededd9-ca5b-48dc-980f-a1585998e940_Object_vendor creates invoice_Object_record subsequent invoice;10718
80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_clear invoice_Object_cancel subsequent invoice;Activity;;Responded Existence[clear invoice, cancel subsequent invoice] | | |;Binary;set();set();Responded Existence;clear invoice;cancel subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'clear invoice': 0.5003014802932739, 'cancel subsequent invoice': 0.6035364866256714};0.5519189834594727;80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_clear invoice_Object_cancel subsequent invoice;0.500298513684954;['Clear Invoice'];['Cancel Subsequent Invoice'];80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_clear invoice_Object_cancel subsequent invoice;9656
80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_record subsequent invoice_Object_cancel subsequent invoice;Activity;;Responded Existence[record subsequent invoice, cancel subsequent invoice] | | |;Binary;set();set();Responded Existence;record subsequent invoice;cancel subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;if {1} occurs in the process instance, then {2} occurs as well;{'record subsequent invoice': 0.5069977045059204, 'cancel subsequent invoice': 0.6035364866256714};0.5552670955657959;80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_record subsequent invoice_Object_cancel subsequent invoice;0.5033118145806449;['Record Subsequent Invoice'];['Cancel Subsequent Invoice'];80c3bf1f-8c82-4887-a08e-f1ccc9163a6e_Object_record subsequent invoice_Object_cancel subsequent invoice;3
66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_change final invoice indicator;Activity;;Alternate Response[vendor creates invoice, change final invoice indicator] | | |;Binary;set();set();Alternate Response;vendor creates invoice;change final invoice indicator;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'vendor creates invoice': 0.6153260469436646, 'change final invoice indicator': 0.5451536178588867};0.5802398324012756;66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_change final invoice indicator;0.5257872777325766;['Vendor creates invoice'];['Change Final Invoice Indicator'];66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_change final invoice indicator;10720
66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_cancel subsequent invoice;Activity;;Alternate Response[vendor creates invoice, cancel subsequent invoice] | | |;Binary;set();set();Alternate Response;vendor creates invoice;cancel subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'vendor creates invoice': 0.6153260469436646, 'cancel subsequent invoice': 0.5100784301757812};0.5627022385597229;66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_cancel subsequent invoice;0.5100034432751792;['Vendor creates invoice'];['Cancel Subsequent Invoice'];66bbb12e-c2e5-4bb5-8450-cb24a72547da_Object_vendor creates invoice_Object_cancel subsequent invoice;10713
6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record invoice receipt;Activity;;Alternate Response[clear invoice, record invoice receipt] | | |;Binary;set();set();Alternate Response;clear invoice;record invoice receipt;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'clear invoice': 0.5003014802932739, 'record invoice receipt': 0.6107280254364014};0.5555147528648376;6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record invoice receipt;0.5035347061497825;['Clear Invoice'];['Record Invoice Receipt'];6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record invoice receipt;9586
6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record subsequent invoice;Activity;;Alternate Response[clear invoice, record subsequent invoice] | | |;Binary;set();set();Alternate Response;clear invoice;record subsequent invoice;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'clear invoice': 0.5003014802932739, 'record subsequent invoice': 0.6059768199920654};0.5531391501426697;6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record subsequent invoice;0.5013966636998313;['Clear Invoice'];['Record Subsequent Invoice'];6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_clear invoice_Object_record subsequent invoice;9676
6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_record subsequent invoice_Object_record invoice receipt;Activity;;Alternate Response[record subsequent invoice, record invoice receipt] | | |;Binary;set();set();Alternate Response;record subsequent invoice;record invoice receipt;['220e27deabdd4bfea3c1d09e6e75626f'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)']";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'record subsequent invoice': 0.5069977045059204, 'record invoice receipt': 0.6107280254364014};0.5588628649711609;6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_record subsequent invoice_Object_record invoice receipt;0.5065480070454734;['Record Subsequent Invoice'];['Record Invoice Receipt'];6f67d23b-87a8-4b99-8de8-6bac2fd9d19d_Object_record subsequent invoice_Object_record invoice receipt;2
caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record invoice receipt_Object_vendor creates invoice;Activity;;Alternate Precedence[record invoice receipt, vendor creates invoice] | | |;Binary;set();set();Alternate Precedence;record invoice receipt;vendor creates invoice;['53d31413494a46d5b88f1e7af1f0eefc'];['Loan application process'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'record invoice receipt': 0.6050664186477661, 'vendor creates invoice': 0.507891058921814};0.55647873878479;caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record invoice receipt_Object_vendor creates invoice;0.5044022934777396;['Record Invoice Receipt'];['Vendor creates invoice'];caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record invoice receipt_Object_vendor creates invoice;10707
caae630d-dcd7-48e7-bc23-59a7a005c241_Object_clear invoice_Object_vendor creates invoice;Activity;;Alternate Precedence[clear invoice, vendor creates invoice] | | |;Binary;set();set();Alternate Precedence;clear invoice;vendor creates invoice;['53d31413494a46d5b88f1e7af1f0eefc'];['Loan application process'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'clear invoice': 0.6344097256660461, 'vendor creates invoice': 0.507891058921814};0.57115039229393;caae630d-dcd7-48e7-bc23-59a7a005c241_Object_clear invoice_Object_vendor creates invoice;0.5176067816359656;['Clear Invoice'];['Vendor creates invoice'];caae630d-dcd7-48e7-bc23-59a7a005c241_Object_clear invoice_Object_vendor creates invoice;10722
caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record subsequent invoice_Object_vendor creates invoice;Activity;;Alternate Precedence[record subsequent invoice, vendor creates invoice] | | |;Binary;set();set();Alternate Precedence;record subsequent invoice;vendor creates invoice;['53d31413494a46d5b88f1e7af1f0eefc'];['Loan application process'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'record subsequent invoice': 0.6037110090255737, 'vendor creates invoice': 0.507891058921814};0.5558010339736938;caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record subsequent invoice_Object_vendor creates invoice;0.503792359147753;['Record Subsequent Invoice'];['Vendor creates invoice'];caae630d-dcd7-48e7-bc23-59a7a005c241_Object_record subsequent invoice_Object_vendor creates invoice;10722
12bcf31c-a6f9-411a-a9e5-b371b14e3ae2_Object_release purchase order_Object_change payment term;Activity;;Alternate Precedence[release purchase order, change payment term] | | |;Binary;set();set();Alternate Precedence;release purchase order;change payment term;['f9a08936c83b43459951d9538b7ee207'];['Outbound logistics'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.6027007102966309, 'change payment term': 0.5174265503883362};0.5600636303424835;12bcf31c-a6f9-411a-a9e5-b371b14e3ae2_Object_release purchase order_Object_change payment term;0.5076286958796637;['Release Purchase Order'];['Change payment term'];12bcf31c-a6f9-411a-a9e5-b371b14e3ae2_Object_release purchase order_Object_change payment term;1
dc9c5857-f3ea-4ede-8351-00a4b072cde6_Object_change final invoice indicator_Object_cancel invoice receipt;Activity;;Succession[change final invoice indicator, cancel invoice receipt] | | |;Binary;set();set();Succession;change final invoice indicator;cancel invoice receipt;['fa890d8af65d4518a6a2404be1f04f9e'];"['Manage &amp; deliver bike 3']";1;{1} occurs if and only if it is followed by {2};{'change final invoice indicator': 0.5746196508407593, 'cancel invoice receipt': 0.5366789102554321};0.5556492805480957;dc9c5857-f3ea-4ede-8351-00a4b072cde6_Object_change final invoice indicator_Object_cancel invoice receipt;0.5036557810647148;['Change Final Invoice Indicator'];['Cancel Invoice Receipt'];dc9c5857-f3ea-4ede-8351-00a4b072cde6_Object_change final invoice indicator_Object_cancel invoice receipt;567
120fcaf3-bf36-4109-89c6-679ff38964a5_Object_cancel invoice receipt_Object_record subsequent invoice;Activity;;Precedence[cancel invoice receipt, record subsequent invoice] | | |;Binary;set();set();Precedence;cancel invoice receipt;record subsequent invoice;['aa94bb918978443894be16c55f3925d6'];['determine credit allowance'];1;{2} occurs only if it is preceded by {1};{'cancel invoice receipt': 0.5366789102554321, 'record subsequent invoice': 0.5897789597511292};0.5632289350032806;120fcaf3-bf36-4109-89c6-679ff38964a5_Object_cancel invoice receipt_Object_record subsequent invoice;0.5104774700743812;['Cancel Invoice Receipt'];['Record Subsequent Invoice'];120fcaf3-bf36-4109-89c6-679ff38964a5_Object_cancel invoice receipt_Object_record subsequent invoice;4
120fcaf3-bf36-4109-89c6-679ff38964a5_Object_change final invoice indicator_Object_record subsequent invoice;Activity;;Precedence[change final invoice indicator, record subsequent invoice] | | |;Binary;set();set();Precedence;change final invoice indicator;record subsequent invoice;['aa94bb918978443894be16c55f3925d6'];['determine credit allowance'];1;{2} occurs only if it is preceded by {1};{'change final invoice indicator': 0.5316571593284607, 'record subsequent invoice': 0.5897789597511292};0.5607180595397949;120fcaf3-bf36-4109-89c6-679ff38964a5_Object_change final invoice indicator_Object_record subsequent invoice;0.508217682157244;['Change Final Invoice Indicator'];['Record Subsequent Invoice'];120fcaf3-bf36-4109-89c6-679ff38964a5_Object_change final invoice indicator_Object_record subsequent invoice;4
88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;Activity;;Responded Existence[receive order confirmation, set payment block] | | |;Binary;set();set();Responded Existence;receive order confirmation;set payment block;['aa94bb918978443894be16c55f3925d6'];['determine credit allowance'];1;if {1} occurs in the process instance, then {2} occurs as well;{'receive order confirmation': 0.8088853359222412, 'set payment block': 0.5202072262763977};0.6645462810993195;88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;0.601663081560816;['Receive Order Confirmation'];['Set Payment Block'];88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;51
88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;Activity;;Responded Existence[receive order confirmation, change payment term] | | |;Binary;set();set();Responded Existence;receive order confirmation;change payment term;['aa94bb918978443894be16c55f3925d6'];['determine credit allowance'];1;if {1} occurs in the process instance, then {2} occurs as well;{'receive order confirmation': 0.8088853359222412, 'change payment term': 0.5362990498542786};0.6725921928882599;88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;0.6089044021708625;['Receive Order Confirmation'];['Change payment term'];88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;51
88476a28-8be5-41e6-844a-912f8aaada10_Object_release purchase order_Object_change payment term;Activity;;Responded Existence[release purchase order, change payment term] | | |;Binary;set();set();Responded Existence;release purchase order;change payment term;['aa94bb918978443894be16c55f3925d6'];['determine credit allowance'];1;if {1} occurs in the process instance, then {2} occurs as well;{'release purchase order': 0.5699558258056641, 'change payment term': 0.5362990498542786};0.5531274378299713;88476a28-8be5-41e6-844a-912f8aaada10_Object_release purchase order_Object_change payment term;0.5013861226184028;['Release Purchase Order'];['Change payment term'];88476a28-8be5-41e6-844a-912f8aaada10_Object_release purchase order_Object_change payment term;1
639be0f6-555a-4d2d-93e5-a93914cb961e_Object_vendor creates invoice_Object_record subsequent invoice;Activity;;Alternate Succession[vendor creates invoice, record subsequent invoice] | | |;Binary;set();set();Alternate Succession;vendor creates invoice;record subsequent invoice;['aba47bda154f4276abe2b31c5d8a5297'];['KLIA2 DEPARTURE PROCESS INTERNATIONAL 2POOL'];1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'vendor creates invoice': 0.5832409262657166, 'record subsequent invoice': 0.5268169045448303};0.5550289154052734;639be0f6-555a-4d2d-93e5-a93914cb961e_Object_vendor creates invoice_Object_record subsequent invoice;0.5030974524361747;['Vendor creates invoice'];['Record Subsequent Invoice'];639be0f6-555a-4d2d-93e5-a93914cb961e_Object_vendor creates invoice_Object_record subsequent invoice;10722
08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_vendor creates invoice;Activity;;Alternate Precedence[change approval for purchase order, vendor creates invoice] | | |;Binary;set();set();Alternate Precedence;change approval for purchase order;vendor creates invoice;['7f672375e8fa43ae83a13ed6d208e289'];['Part 2 Assignment'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change approval for purchase order': 0.5034907460212708, 'vendor creates invoice': 0.6679377555847168};0.5857142508029938;08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_vendor creates invoice;0.530714254294123;['Change Approval for Purchase Order'];['Vendor creates invoice'];08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_vendor creates invoice;10690
08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record invoice receipt;Activity;;Alternate Precedence[change approval for purchase order, record invoice receipt] | | |;Binary;set();set();Alternate Precedence;change approval for purchase order;record invoice receipt;['7f672375e8fa43ae83a13ed6d208e289'];['Part 2 Assignment'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change approval for purchase order': 0.5034907460212708, 'record invoice receipt': 0.6604573130607605};0.5819740295410156;08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record invoice receipt;0.5273480551583426;['Change Approval for Purchase Order'];['Record Invoice Receipt'];08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record invoice receipt;11097
08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_clear invoice;Activity;;Alternate Precedence[change approval for purchase order, clear invoice] | | |;Binary;set();set();Alternate Precedence;change approval for purchase order;clear invoice;['7f672375e8fa43ae83a13ed6d208e289'];['Part 2 Assignment'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change approval for purchase order': 0.5034907460212708, 'clear invoice': 0.7105755805969238};0.6070331633090973;08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_clear invoice;0.5499012755496161;['Change Approval for Purchase Order'];['Clear Invoice'];08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_clear invoice;9644
08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_cancel subsequent invoice;Activity;;Alternate Precedence[change approval for purchase order, cancel subsequent invoice] | | |;Binary;set();set();Alternate Precedence;change approval for purchase order;cancel subsequent invoice;['7f672375e8fa43ae83a13ed6d208e289'];['Part 2 Assignment'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change approval for purchase order': 0.5034907460212708, 'cancel subsequent invoice': 0.615185022354126};0.5593378841876984;08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_cancel subsequent invoice;0.5069755243403571;['Change Approval for Purchase Order'];['Cancel Subsequent Invoice'];08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_cancel subsequent invoice;20
08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record subsequent invoice;Activity;;Alternate Precedence[change approval for purchase order, record subsequent invoice] | | |;Binary;set();set();Alternate Precedence;change approval for purchase order;record subsequent invoice;['7f672375e8fa43ae83a13ed6d208e289'];['Part 2 Assignment'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change approval for purchase order': 0.5034907460212708, 'record subsequent invoice': 0.6285448670387268};0.5660178065299988;08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record subsequent invoice;0.5129874544484275;['Change Approval for Purchase Order'];['Record Subsequent Invoice'];08492221-9cfd-4504-b237-189ca13fc222_Object_change approval for purchase order_Object_record subsequent invoice;4
77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_change final invoice indicator;Activity;;Responded Existence[cancel goods receipt, change final invoice indicator] | | |;Binary;set();set();Responded Existence;cancel goods receipt;change final invoice indicator;['7f69bc929f974db1a238aba76d054517'];['Handling report claims to be'];1;if {1} occurs in the process instance, then {2} occurs as well;{'cancel goods receipt': 0.5241270661354065, 'change final invoice indicator': 0.6165781021118164};0.5703525841236115;77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_change final invoice indicator;0.5168887542826789;['Cancel Goods Receipt'];['Change Final Invoice Indicator'];77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_change final invoice indicator;440
77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_cancel subsequent invoice;Activity;;Responded Existence[cancel goods receipt, cancel subsequent invoice] | | |;Binary;set();set();Responded Existence;cancel goods receipt;cancel subsequent invoice;['7f69bc929f974db1a238aba76d054517'];['Handling report claims to be'];1;if {1} occurs in the process instance, then {2} occurs as well;{'cancel goods receipt': 0.5241270661354065, 'cancel subsequent invoice': 0.6569140553474426};0.5905205607414246;77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_cancel subsequent invoice;0.5350399332387107;['Cancel Goods Receipt'];['Cancel Subsequent Invoice'];77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel goods receipt_Object_cancel subsequent invoice;437
77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_vendor creates invoice;Activity;;Responded Existence[cancel invoice receipt, vendor creates invoice] | | |;Binary;set();set();Responded Existence;cancel invoice receipt;vendor creates invoice;['7f69bc929f974db1a238aba76d054517'];['Handling report claims to be'];1;if {1} occurs in the process instance, then {2} occurs as well;{'cancel invoice receipt': 0.5505964756011963, 'vendor creates invoice': 0.7430721521377563};0.6468343138694763;77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_vendor creates invoice;0.5857223110539572;['Cancel Invoice Receipt'];['Vendor creates invoice'];77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_vendor creates invoice;23
