obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_clear invoice;Activity;;Responded Existence[cancel invoice receipt, clear invoice] | | |;Binary;set();set();Responded Existence;cancel invoice receipt;clear invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'cancel invoice receipt': 0.5505964756011963, 'clear invoice': 0.7996156811714172};0.6751060783863068;77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_clear invoice;0.6111668991191047;['Cancel Invoice Receipt'];['Clear Invoice'];77380fb5-1442-4f8d-a722-079466ad4a5e_Object_cancel invoice receipt_Object_clear invoice;27
550698b9-99e3-48ec-b4fa-72d2d2ca6ebb_Object_change quantity_Object_release purchase order;Activity;;Responded Existence[change quantity, release purchase order] | | |;Binary;set();set();Responded Existence;change quantity;release purchase order;2;if {1} occurs in the process instance, then {2} occurs as well;{'change quantity': 0.6850709319114685, 'release purchase order': 0.6598301529884338};0.6724505424499512;550698b9-99e3-48ec-b4fa-72d2d2ca6ebb_Object_change quantity_Object_release purchase order;0.6123483453478132;['Change Quantity'];['Release Purchase Order'];550698b9-99e3-48ec-b4fa-72d2d2ca6ebb_Object_change quantity_Object_release purchase order;857
0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_reactivate purchase order item_Object_cancel goods receipt;Activity;;Alternate Precedence[reactivate purchase order item, cancel goods receipt] | | |;Binary;set();set();Alternate Precedence;reactivate purchase order item;cancel goods receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'reactivate purchase order item': 0.7106712460517883, 'cancel goods receipt': 0.6433232426643372};0.6769972443580627;0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_reactivate purchase order item_Object_cancel goods receipt;0.612868948493685;['Reactivate Purchase Order Item'];['Cancel Goods Receipt'];0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_reactivate purchase order item_Object_cancel goods receipt;440
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record invoice receipt_Object_set payment block;Activity;;Exclusive Choice[record invoice receipt, set payment block] | | |;Binary;set();set();Exclusive Choice;record invoice receipt;set payment block;1;{1} or {2} occurs, but never both in the same process instance;{'record invoice receipt': 0.6203557252883911, 'set payment block': 0.7343952655792236};0.6773754954338074;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record invoice receipt_Object_set payment block;0.6132093744618552;['Record Invoice Receipt'];['Set Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_record invoice receipt_Object_set payment block;4115
75054108-8713-4b2b-88fe-a815f7c42263_Object_payment block_Object_payment term;Multi-object;;Responded Existence[payment block, payment term] | | |;Binary;set();set();Responded Existence;payment block;payment term;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment block': 0.5724849700927734, 'payment term': 0.7836142182350159};0.6780495941638947;75054108-8713-4b2b-88fe-a815f7c42263_Object_payment block_Object_payment term;0.6134704411991181;['Remove Payment Block', 'Set Payment Block'];['Change payment term'];75054108-8713-4b2b-88fe-a815f7c42263_Object_payment block_Object_payment term;2288
90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_vendor creates invoice;Activity;;Precedence[create purchase requisition item, vendor creates invoice] | | |;Binary;set();set();Precedence;create purchase requisition item;vendor creates invoice;2;{2} occurs only if it is preceded by {1};{'create purchase requisition item': 0.6651511788368225, 'vendor creates invoice': 0.6831105351448059};0.6741308569908142;90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_vendor creates invoice;0.6138606284345899;['Create Purchase Requisition Item'];['Vendor creates invoice'];90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_vendor creates invoice;9792
4e6a4fd6-024f-42fa-84b0-d1012495aead_Object_create purchase order item_Object_cancel subsequent invoice;Activity;;Alternate Precedence[create purchase order item, cancel subsequent invoice] | | |;Binary;set();set();Alternate Precedence;create purchase order item;cancel subsequent invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'create purchase order item': 0.8492878675460815, 'cancel subsequent invoice': 0.5107173919677734};0.6800026297569275;4e6a4fd6-024f-42fa-84b0-d1012495aead_Object_create purchase order item_Object_cancel subsequent invoice;0.6155737953526633;['Create Purchase Order Item'];['Cancel Subsequent Invoice'];4e6a4fd6-024f-42fa-84b0-d1012495aead_Object_create purchase order item_Object_cancel subsequent invoice;2
f545902e-da1f-43d7-9287-bb10a3f49657_Object_subsequent invoice_Object_final invoice indicator;Multi-object;;Precedence[subsequent invoice, final invoice indicator] | | |;Binary;set();set();Precedence;subsequent invoice;final invoice indicator;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.6850513219833374, 'final invoice indicator': 0.6769558787345886};0.681003600358963;f545902e-da1f-43d7-9287-bb10a3f49657_Object_subsequent invoice_Object_final invoice indicator;0.6161290467746796;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Final Invoice Indicator'];f545902e-da1f-43d7-9287-bb10a3f49657_Object_subsequent invoice_Object_final invoice indicator;3
397422b6-e434-4c89-8873-d665c962008a_Object_subsequent invoice_Object_final invoice indicator;Multi-object;;Alternate Response[subsequent invoice, final invoice indicator] | | |;Binary;set();set();Alternate Response;subsequent invoice;final invoice indicator;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'subsequent invoice': 0.6850513219833374, 'final invoice indicator': 0.6769558787345886};0.681003600358963;397422b6-e434-4c89-8873-d665c962008a_Object_subsequent invoice_Object_final invoice indicator;0.6161290467746796;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Final Invoice Indicator'];397422b6-e434-4c89-8873-d665c962008a_Object_subsequent invoice_Object_final invoice indicator;23
6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment block;Multi-object;;Responded Existence[purchase order, payment block] | | |;Binary;set();set();Responded Existence;purchase order;payment block;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'payment block': 0.6257834434509277};0.6824085712432861;6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment block;0.6173935205705704;['Release Purchase Order'];['Remove Payment Block', 'Set Payment Block'];6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment block;1
f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_record invoice receipt_Object_clear invoice;Activity;;Responded Existence[record invoice receipt, clear invoice] | | |;Binary;set();set();Responded Existence;record invoice receipt;clear invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'record invoice receipt': 0.6358588337898254, 'clear invoice': 0.7308492660522461};0.6833540499210358;f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_record invoice receipt_Object_clear invoice;0.6185900735003608;['Record Invoice Receipt'];['Clear Invoice'];f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_record invoice receipt_Object_clear invoice;1454
72466941-3967-4edd-9d99-ced0a84cd868_Object_change approval for purchase order_Object_change storage location;Activity;;Succession[change approval for purchase order, change storage location] | | |;Binary;set();set();Succession;change approval for purchase order;change storage location;1;{1} occurs if and only if it is followed by {2};{'change approval for purchase order': 0.7130254507064819, 'change storage location': 0.654598593711853};0.6838120222091675;72466941-3967-4edd-9d99-ced0a84cd868_Object_change approval for purchase order_Object_change storage location;0.6190022485596793;['Change Approval for Purchase Order'];['Change Storage Location'];72466941-3967-4edd-9d99-ced0a84cd868_Object_change approval for purchase order_Object_change storage location;53
8981a192-5ce9-450e-9ed4-4df568972367_Object_change approval for purchase order_Object_change storage location;Activity;;Alternate Succession[change approval for purchase order, change storage location] | | |;Binary;set();set();Alternate Succession;change approval for purchase order;change storage location;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change approval for purchase order': 0.7130254507064819, 'change storage location': 0.654598593711853};0.6838120222091675;8981a192-5ce9-450e-9ed4-4df568972367_Object_change approval for purchase order_Object_change storage location;0.6190022485596793;['Change Approval for Purchase Order'];['Change Storage Location'];8981a192-5ce9-450e-9ed4-4df568972367_Object_change approval for purchase order_Object_change storage location;53
fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_purchase order item_Object_invoice receipt;Multi-object;;Alternate Precedence[purchase order item, invoice receipt] | | |;Binary;set();set();Alternate Precedence;purchase order item;invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'purchase order item': 0.5767530202865601, 'invoice receipt': 0.7916640639305115};0.6842085421085358;fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_purchase order item_Object_invoice receipt;0.6190134943492951;['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_purchase order item_Object_invoice receipt;1034
c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_invoice receipt;Multi-object;;Succession[price, invoice receipt] | | |;Binary;set();set();Succession;price;invoice receipt;1;{1} occurs if and only if it is followed by {2};{'price': 0.577366292476654, 'invoice receipt': 0.7916640639305115};0.6845151782035828;c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_invoice receipt;0.6192894668348373;['Change Price'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_invoice receipt;10461
f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_clear invoice_Object_record invoice receipt;Activity;;Responded Existence[clear invoice, record invoice receipt] | | |;Binary;set();set();Responded Existence;clear invoice;record invoice receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'clear invoice': 0.6592478156089783, 'record invoice receipt': 0.7091970443725586};0.6842224299907684;f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_clear invoice_Object_record invoice receipt;0.6193716155631201;['Clear Invoice'];['Record Invoice Receipt'];f90906ca-480e-4cd9-a539-3b64109dfd8e_Object_clear invoice_Object_record invoice receipt;2
24d18325-00a7-40c4-ab65-a80bcbd623ff_Object_create purchase requisition item_Object_cancel goods receipt;Activity;;Responded Existence[create purchase requisition item, cancel goods receipt] | | |;Binary;set();set();Responded Existence;create purchase requisition item;cancel goods receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'create purchase requisition item': 0.7264172434806824, 'cancel goods receipt': 0.6433232426643372};0.6848702430725098;24d18325-00a7-40c4-ab65-a80bcbd623ff_Object_create purchase requisition item_Object_cancel goods receipt;0.6199546473366874;['Create Purchase Requisition Item'];['Cancel Goods Receipt'];24d18325-00a7-40c4-ab65-a80bcbd623ff_Object_create purchase requisition item_Object_cancel goods receipt;1217
9d05cb9b-09d6-4847-ab7c-aa054fb2ffae_Object_order confirmation_Object_invoice receipt;Multi-object;;Precedence[order confirmation, invoice receipt] | | |;Binary;set();set();Precedence;order confirmation;invoice receipt;4;{2} occurs only if it is preceded by {1};{'order confirmation': 0.6315290331840515, 'invoice receipt': 0.7192960977554321};0.6754125654697418;9d05cb9b-09d6-4847-ab7c-aa054fb2ffae_Object_order confirmation_Object_invoice receipt;0.6207745347292193;['Receive Order Confirmation'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];9d05cb9b-09d6-4847-ab7c-aa054fb2ffae_Object_order confirmation_Object_invoice receipt;11095
3fa747ef-d39d-405a-b2b2-fb9ac576faaa_Object_order confirmation_Object_payment term;Multi-object;;Alternate Precedence[order confirmation, payment term] | | |;Binary;set();set();Alternate Precedence;order confirmation;payment term;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'order confirmation': 0.5955217480659485, 'payment term': 0.7769270539283752};0.6862244009971619;3fa747ef-d39d-405a-b2b2-fb9ac576faaa_Object_order confirmation_Object_payment term;0.6208277673490585;['Receive Order Confirmation'];['Change payment term'];3fa747ef-d39d-405a-b2b2-fb9ac576faaa_Object_order confirmation_Object_payment term;1
b3c56296-c03c-4d3e-a2cf-77209228249b_Object_order confirmation_Object_payment term;Multi-object;;Precedence[order confirmation, payment term] | | |;Binary;set();set();Precedence;order confirmation;payment term;1;{2} occurs only if it is preceded by {1};{'order confirmation': 0.5955217480659485, 'payment term': 0.7769270539283752};0.6862244009971619;b3c56296-c03c-4d3e-a2cf-77209228249b_Object_order confirmation_Object_payment term;0.6208277673490585;['Receive Order Confirmation'];['Change payment term'];b3c56296-c03c-4d3e-a2cf-77209228249b_Object_order confirmation_Object_payment term;1
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment block;Multi-object;;Precedence[final invoice indicator, payment block] | | |;Binary;set();set();Precedence;final invoice indicator;payment block;1;{2} occurs only if it is preceded by {1};{'final invoice indicator': 0.6769558787345886, 'payment block': 0.69561368227005};0.6862847805023193;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment block;0.6208821089037003;['Change Final Invoice Indicator'];['Remove Payment Block', 'Set Payment Block'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment block;2288
9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_quantity_Object_invoice;Multi-object;;Responded Existence[quantity, invoice] | | |;Binary;set();set();Responded Existence;quantity;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'quantity': 0.5423412322998047, 'invoice': 0.8312875628471375};0.6868143975734711;9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_quantity_Object_invoice;0.6213587642677368;['Change Quantity'];['Vendor creates invoice', 'Clear Invoice'];9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_quantity_Object_invoice;56
241ada8c-6b1f-4189-9a91-e80a2c717e8c_Object_subsequent invoice_Object_invoice receipt;Multi-object;;Precedence[subsequent invoice, invoice receipt] | | |;Binary;set();set();Precedence;subsequent invoice;invoice receipt;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.6953133940696716, 'invoice receipt': 0.6783937215805054};0.6868535578250885;241ada8c-6b1f-4189-9a91-e80a2c717e8c_Object_subsequent invoice_Object_invoice receipt;0.6213940084941926;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];241ada8c-6b1f-4189-9a91-e80a2c717e8c_Object_subsequent invoice_Object_invoice receipt;11146
f205dd43-19b6-44a4-acf1-28e2653f152b_Object_purchase requisition item_Object_invoice;Multi-object;;Responded Existence[purchase requisition item, invoice] | | |;Binary;set();set();Responded Existence;purchase requisition item;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase requisition item': 0.525179386138916, 'invoice': 0.8487736582756042};0.6869765222072601;f205dd43-19b6-44a4-acf1-28e2653f152b_Object_purchase requisition item_Object_invoice;0.621504676438147;['Create Purchase Requisition Item'];['Vendor creates invoice', 'Clear Invoice'];f205dd43-19b6-44a4-acf1-28e2653f152b_Object_purchase requisition item_Object_invoice;289
0443de37-044c-47a9-873b-46e00992fbca_Object_rejection indicator_Object_purchase order;Multi-object;;Succession[rejection indicator, purchase order] | | |;Binary;set();set();Succession;rejection indicator;purchase order;1;{1} occurs if and only if it is followed by {2};{'rejection indicator': 0.5909218192100525, 'purchase order': 0.7838414311408997};0.6873816251754761;0443de37-044c-47a9-873b-46e00992fbca_Object_rejection indicator_Object_purchase order;0.6218692691095413;['Change Rejection Indicator'];['Release Purchase Order'];0443de37-044c-47a9-873b-46e00992fbca_Object_rejection indicator_Object_purchase order;2
a6ba7a53-52fa-4fd1-b4bf-ee4f2bee3bbe_Object_rejection indicator_Object_purchase order;Multi-object;;Alternate Succession[rejection indicator, purchase order] | | |;Binary;set();set();Alternate Succession;rejection indicator;purchase order;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'rejection indicator': 0.5909218192100525, 'purchase order': 0.7838414311408997};0.6873816251754761;a6ba7a53-52fa-4fd1-b4bf-ee4f2bee3bbe_Object_rejection indicator_Object_purchase order;0.6218692691095413;['Change Rejection Indicator'];['Release Purchase Order'];a6ba7a53-52fa-4fd1-b4bf-ee4f2bee3bbe_Object_rejection indicator_Object_purchase order;2
1d05c13e-e584-4669-a4c4-4c82ab85f0b3_Object_payment term_Object_invoice receipt;Multi-object;;Alternate Precedence[payment term, invoice receipt] | | |;Binary;set();set();Alternate Precedence;payment term;invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'payment term': 0.5850375890731812, 'invoice receipt': 0.7910290956497192};0.6880333423614502;1d05c13e-e584-4669-a4c4-4c82ab85f0b3_Object_payment term_Object_invoice receipt;0.622455814576918;['Change payment term'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];1d05c13e-e584-4669-a4c4-4c82ab85f0b3_Object_payment term_Object_invoice receipt;11146
86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_order confirmation;Multi-object;;Precedence[delivery indicator, order confirmation] | | |;Binary;set();set();Precedence;delivery indicator;order confirmation;18;{2} occurs only if it is preceded by {1};{'delivery indicator': 0.6360528469085693, 'order confirmation': 0.6210375428199768};0.6285451948642731;86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_order confirmation;0.6237551915068781;['Change Delivery Indicator'];['Receive Order Confirmation'];86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_order confirmation;51
3d13298a-a432-4210-b414-83e88c751e3e_Object_storage location_Object_quantity;Multi-object;;Alternate Succession[storage location, quantity] | | |;Binary;set();set();Alternate Succession;storage location;quantity;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'storage location': 0.5067367553710938, 'quantity': 0.8725488781929016};0.6896428167819977;3d13298a-a432-4210-b414-83e88c751e3e_Object_storage location_Object_quantity;0.6239043415554107;['Change Storage Location'];['Change Quantity'];3d13298a-a432-4210-b414-83e88c751e3e_Object_storage location_Object_quantity;870
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_vendor creates invoice_Object_set payment block;Activity;;Exclusive Choice[vendor creates invoice, set payment block] | | |;Binary;set();set();Exclusive Choice;vendor creates invoice;set payment block;1;{1} or {2} occurs, but never both in the same process instance;{'vendor creates invoice': 0.6447575092315674, 'set payment block': 0.7343952655792236};0.6895763874053955;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_vendor creates invoice_Object_set payment block;0.6241901772362846;['Vendor creates invoice'];['Set Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_vendor creates invoice_Object_set payment block;4521
c85ca5f6-39f1-48f9-b3c8-e6bc8855cb50_Object_price_Object_payment block;Multi-object;;Succession[price, payment block] | | |;Binary;set();set();Succession;price;payment block;1;{1} occurs if and only if it is followed by {2};{'price': 0.6848816871643066, 'payment block': 0.69561368227005};0.6902476847171783;c85ca5f6-39f1-48f9-b3c8-e6bc8855cb50_Object_price_Object_payment block;0.6244487226970734;['Change Price'];['Remove Payment Block', 'Set Payment Block'];c85ca5f6-39f1-48f9-b3c8-e6bc8855cb50_Object_price_Object_payment block;2740
c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_subsequent invoice;Multi-object;;Succession[price, subsequent invoice] | | |;Binary;set();set();Succession;price;subsequent invoice;1;{1} occurs if and only if it is followed by {2};{'price': 0.577366292476654, 'subsequent invoice': 0.8053135275840759};0.691339910030365;c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_subsequent invoice;0.6254317254789413;['Change Price'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];c29195c3-d98c-4f79-a6b3-5960c5e23121_Object_price_Object_subsequent invoice;1111
79145125-4379-47b8-80b5-3525ef516772_Object_subsequent invoice_Object_delivery indicator;Multi-object;;Alternate Precedence[subsequent invoice, delivery indicator] | | |;Binary;set();set();Alternate Precedence;subsequent invoice;delivery indicator;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'subsequent invoice': 0.7704519033432007, 'delivery indicator': 0.6158117055892944};0.6931318044662476;79145125-4379-47b8-80b5-3525ef516772_Object_subsequent invoice_Object_delivery indicator;0.6270444304712357;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Delivery Indicator'];79145125-4379-47b8-80b5-3525ef516772_Object_subsequent invoice_Object_delivery indicator;183
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;Multi-object;;Responded Existence[invoice receipt, final invoice indicator] | | |;Binary;set();set();Responded Existence;invoice receipt;final invoice indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'final invoice indicator': 0.5973420143127441};0.6945030391216278;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;0.6282785416610779;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Final Invoice Indicator'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;11143
5494951a-787e-47ad-9461-94bcffc53dc4_Object_receive order confirmation_Object_clear invoice;Activity;;Alternate Response[receive order confirmation, clear invoice] | | |;Binary;set();set();Alternate Response;receive order confirmation;clear invoice;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'receive order confirmation': 0.6535064578056335, 'clear invoice': 0.7348394989967346};0.6941729784011841;5494951a-787e-47ad-9461-94bcffc53dc4_Object_receive order confirmation_Object_clear invoice;0.6283271091324942;['Receive Order Confirmation'];['Clear Invoice'];5494951a-787e-47ad-9461-94bcffc53dc4_Object_receive order confirmation_Object_clear invoice;2
2671353e-632e-4e7e-b5c5-f98794fe0667_Object_subsequent invoice;Object;subsequent invoice;Exclusive Choice[cancel, hold] | | |;Binary;set();set();Exclusive Choice;cancel;hold;1;{1} or {2} occurs, but never both in the same process instance;{'subsequent invoice': 0.6996841430664062};0.6996841430664062;2671353e-632e-4e7e-b5c5-f98794fe0667_Object_subsequent invoice;0.6298712497551;['Cancel Subsequent Invoice'];[];2671353e-632e-4e7e-b5c5-f98794fe0667_Object_subsequent invoice;3
8c1f10ba-dc82-43c7-8c2a-f4d22379f924_Object_subsequent invoice;Object;subsequent invoice;Alternate Succession[hold, confirm] | | |;Binary;set();set();Alternate Succession;hold;confirm;2;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'subsequent invoice': 0.6996841430664062};0.6996841430664062;8c1f10ba-dc82-43c7-8c2a-f4d22379f924_Object_subsequent invoice;0.6300267707504345;[];[];8c1f10ba-dc82-43c7-8c2a-f4d22379f924_Object_subsequent invoice;5
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;Multi-object;;Responded Existence[invoice receipt, subsequent invoice] | | |;Binary;set();set();Responded Existence;invoice receipt;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'subsequent invoice': 0.6018521785736084};0.6967581212520599;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;0.6303081155784668;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;11123
d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_cancel invoice receipt;Activity;;Precedence[receive order confirmation, cancel invoice receipt] | | |;Binary;set();set();Precedence;receive order confirmation;cancel invoice receipt;2;{2} occurs only if it is preceded by {1};{'receive order confirmation': 0.7995553016662598, 'cancel invoice receipt': 0.5874136686325073};0.6934844851493835;d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_cancel invoice receipt;0.6312788937773023;['Receive Order Confirmation'];['Cancel Invoice Receipt'];d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_cancel invoice receipt;563
6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment term;Multi-object;;Responded Existence[purchase order, payment term] | | |;Binary;set();set();Responded Existence;purchase order;payment term;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.7390336990356445, 'payment term': 0.6578913331031799};0.6984625160694122;6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment term;0.6318420709140838;['Release Purchase Order'];['Change payment term'];6785d04f-09cf-4067-98eb-7ada5dd42356_Object_purchase order_Object_payment term;1
ed796905-42ba-40b6-aef1-8d6cabd56237_Object_invoice receipt_Object_price;Multi-object;;Alternate Precedence[invoice receipt, price] | | |;Binary;set();set();Alternate Precedence;invoice receipt;price;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'invoice receipt': 0.7910290956497192, 'price': 0.6062408685684204};0.6986349821090698;ed796905-42ba-40b6-aef1-8d6cabd56237_Object_invoice receipt_Object_price;0.6319972903497757;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Price'];ed796905-42ba-40b6-aef1-8d6cabd56237_Object_invoice receipt_Object_price;883
a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_final invoice indicator;Multi-object;;Alternate Response[purchase order, final invoice indicator] | | |;Binary;set();set();Alternate Response;purchase order;final invoice indicator;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.7213391661643982, 'final invoice indicator': 0.6769558787345886};0.6991475224494934;a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_final invoice indicator;0.6324585766561569;['Release Purchase Order'];['Change Final Invoice Indicator'];a4f0f6e6-7dbf-4390-9bb1-8501a8112892_Object_purchase order_Object_final invoice indicator;1
de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_change approval for purchase order_Object_cancel goods receipt;Activity;;Precedence[change approval for purchase order, cancel goods receipt] | | |;Binary;set();set();Precedence;change approval for purchase order;cancel goods receipt;1;{2} occurs only if it is preceded by {1};{'change approval for purchase order': 0.7561370134353638, 'cancel goods receipt': 0.6433232426643372};0.6997301280498505;de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_change approval for purchase order_Object_cancel goods receipt;0.633328543816294;['Change Approval for Purchase Order'];['Cancel Goods Receipt'];de2d00fd-0d9a-4b5d-abb0-50652af0e14a_Object_change approval for purchase order_Object_cancel goods receipt;440
08ef0185-1d7f-4170-ac47-2598314bc8e8_Object_create purchase order item_Object_cancel invoice receipt;Activity;;Alternate Precedence[create purchase order item, cancel invoice receipt] | | |;Binary;set();set();Alternate Precedence;create purchase order item;cancel invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'create purchase order item': 0.8492878675460815, 'cancel invoice receipt': 0.5502379536628723};0.6997629106044769;08ef0185-1d7f-4170-ac47-2598314bc8e8_Object_create purchase order item_Object_cancel invoice receipt;0.6333580481154578;['Create Purchase Order Item'];['Cancel Invoice Receipt'];08ef0185-1d7f-4170-ac47-2598314bc8e8_Object_create purchase order item_Object_cancel invoice receipt;95
9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_invoice receipt;Multi-object;;Alternate Precedence[order confirmation, invoice receipt] | | |;Binary;set();set();Alternate Precedence;order confirmation;invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'order confirmation': 0.6210375428199768, 'invoice receipt': 0.7797523736953735};0.7003949582576752;9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_invoice receipt;0.6335812688835205;['Receive Order Confirmation'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_invoice receipt;11096
